"uid","onShift","matchNumber","teamNumber","autonLeave","autonCoralL1","autonCoralL2","autonCoralL3","autonCoralL4","autonAlgaeProcessor","autonAlgaeNet","autonAlgaeRemoved","teleopCoralL1","teleopCoralL2","teleopCoralL3","teleopCoralL4","teleopAlgaeProcessor","teleopAlgaeNet","teleopAlgaeRemoved","climbState","didRobotDisable","additionalNotes"
1,"","1","6548",1,0,0,0,2,0,0,0,0,1,2,7,0,0,3,1,0,""
2,"","2","904",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"mcwastrollingthemlmao"
3,"","3","5927",1,0,0,0,0,0,0,0,0,1,3,0,2,0,2,1,0,""
4,"","4","5470",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"disabledatparkingarea"
5,"","5","4003",1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,0,""
6,"","6","7248",1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,""
7,"","7","7210",1,1,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,""
8,"","8","141",1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,3,0,""
9,"","9","5712",1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,1,0,"consistentl4scoring"
10,"","10","74",1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,3,0,"wonbutdamnwesuck"
11,"","11","9207",1,0,0,0,0,0,0,0,0,3,4,1,0,0,1,1,0,""
12,"","12","6094",1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,""
13,"","13","5675",0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,3,0,"Reallygoodbot"
14,"","14","7203",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"defensivebot"
15,"","15","9721",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,""
16,"","16","6002",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Teammatespushedintoparkzone"
17,"","17","3357",1,0,0,0,0,0,0,0,0,4,3,2,0,0,2,3,0,""
18,"","18","7911",1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,""
19,"","19","2959",1,0,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,""
20,"","20","5610",1,0,0,0,0,0,0,0,1,4,1,1,0,0,0,3,0,""
21,"","21","9721",1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,""
22,"","22","6128",1,0,0,0,1,0,0,0,0,1,3,5,0,0,0,0,0,""
23,"","23","2959",1,0,0,0,1,0,0,0,1,0,0,7,2,0,0,0,0,""
24,"","24","3546",1,0,0,1,2,0,0,0,0,0,0,5,0,2,1,0,0,""
25,"","25","85",1,0,0,0,1,0,0,0,0,0,4,5,1,0,0,1,0,""
26,"","26","9542",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,""
27,"","27","904",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
28,"","28","9206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,""
29,"","29","6428",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
30,"","30","7248",1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,""
31,"","31","862",1,0,0,0,1,0,0,0,0,3,2,3,0,1,0,3,0,""
32,"","32","141",1,0,0,0,1,0,0,0,0,0,2,8,0,0,0,3,0,""
33,"","33","5610",1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,""
34,"","34","5712",1,0,0,0,2,0,0,0,1,6,4,1,0,0,0,3,0,""
35,"","35","5675",1,0,0,0,3,0,0,0,0,1,5,2,2,0,0,3,1,""
36,"","36","9248",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,""
37,"","37","107",1,1,0,0,0,0,0,0,2,1,2,0,0,0,1,1,0,""
38,"","38","5248",1,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,""
39,"","39","9206",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
40,"","40","2767",1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,"playeddefense"
41,"","41","3458",1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"possible3climb"
42,"","42","3546",1,0,0,0,0,0,0,0,2,5,0,2,0,1,1,0,0,""
43,"","43","9638",1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"a-stopped"
44,"","44","9542",1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,""
45,"","45","4003",1,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,""
46,"","46","8397",1,1,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,""
47,"","47","74",1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,"CHAOS!"
48,"","48","862",1,0,0,0,0,0,0,0,0,0,2,8,2,0,2,3,0,""
49,"","49","5256",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,""
50,"","50","5927",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"defense"
51,"","51","9542",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,""
52,"","52","2767",1,0,0,0,3,0,0,0,0,0,2,9,0,1,2,3,0,""
53,"","53","9248",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"coralstuckinbot"
54,"","54","2054",1,0,0,0,0,0,0,0,0,0,1,11,0,0,1,3,0,"Autonbad"
55,"","55","9207",1,0,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,""
56,"","56","5084",1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,""
57,"","57","3357",1,1,0,0,1,0,0,0,0,2,2,3,0,0,0,3,0,""
58,"","58","9206",1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,""
59,"","59","5675",1,0,0,0,3,0,0,1,0,0,2,9,0,0,1,3,0,"3pieceauton"
60,"","60","5927",1,1,0,0,0,0,0,0,0,4,0,0,0,0,5,1,0,"verygoodalgearemover"
61,"","61","2959",1,0,0,0,1,0,0,0,0,3,3,3,2,0,2,0,0,""
62,"","62","2767",1,0,0,0,3,0,0,0,0,5,4,4,3,0,3,3,0,""
63,"","63","5256",1,0,0,0,0,0,0,0,2,0,3,0,0,0,3,0,0,""
64,"","64","6428",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"gotstuckearlyingame"
65,"","65","141",1,0,0,0,1,0,0,0,5,1,2,2,0,0,1,1,0,""
66,"","66","6002",1,2,0,0,0,0,0,0,1,0,4,6,1,0,2,3,0,""
67,"","67","5256",1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,"keptmissingthecoralthings"
68,"","68","5248",1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,""
69,"","69","9549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"couldn'tmovewholematch"
70,"","70","4003",1,0,0,0,1,0,0,0,2,1,1,2,0,0,1,1,0,""
