"uid","onShift","matchNumber","teamNumber","autonLeave","autonCoralL1","autonCoralL2","autonCoralL3","autonCoralL4","autonAlgaeProcessor","autonAlgaeNet","autonAlgaeRemoved","teleopCoralL1","teleopCoralL2","teleopCoralL3","teleopCoralL4","teleopAlgaeProcessor","teleopAlgaeNet","teleopAlgaeRemoved","climbState","didRobotDisable","additionalNotes"
1,"","1","141",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,""
2,"","2","6002",0,0,0,0,1,0,0,0,2,2,3,4,0,2,0,3,0,"superfastandcouldtakealgeandputcoralatsametime"
3,"","3","2959",0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,"kindaslow"
4,"","4","3357",0,0,0,0,0,0,0,0,0,2,1,4,0,0,3,3,0,""
5,"","5","9248",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"mostlyblockedthebluecoralgiver"
6,"","6","2767",0,0,0,0,3,0,0,0,0,4,4,5,2,0,2,3,0,""
7,"","7","9542",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,""
8,"","8","5610",0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,3,0,""
9,"","9","862",0,0,0,0,1,0,0,0,1,0,4,5,0,1,3,3,0,""
10,"","10","6428",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"allpreviousmatches,therobotdidleavestartingspot.Ijustmisread,sorry"
11,"","11","9248",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,""
12,"","12","7911",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"theirarmwascrooked"
13,"","13","9542",1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,"verypreciseintake"
14,"","14","9638",1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,"3climbunreliablebutthereforthetigers,bro"
15,"","15","9206",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"rookies"
16,"","16","5712",0,0,0,0,2,0,0,0,0,2,0,10,0,0,0,1,0,"1v3"
17,"","17","904",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"theyscoredonaccident"
18,"","18","5927",1,0,1,0,0,0,0,0,0,3,3,0,2,0,0,2,0,""
19,"","19","5675",1,1,0,0,0,0,0,0,0,1,2,5,2,0,0,3,0,""
20,"","20","5470",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
21,"","21","7248",1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,""
22,"","22","6114",1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,"bazinga"
23,"","23","5256",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,""
